"","X","Month","AvgTemp","Year","Quarter","Price","Coal","Oil","Gas","Nuclear","Hydro","Wind","Bio","PumpStorage","Other","Period","MonthYear"
"25",25,1,3.9,2017,1,53.37,9.98,0.77,36.49,16.03,1.76,14.41,7.52,-0.29,1.33,"1 - 2017","1 - 2017"
"26",26,2,5.3,2017,1,49.49,9.98,0.77,36.49,16.03,1.76,14.41,7.52,-0.29,1.33,"1 - 2017","2 - 2017"
"27",27,3,7.3,2017,1,41.99,9.98,0.77,36.49,16.03,1.76,14.41,7.52,-0.29,1.33,"1 - 2017","3 - 2017"
"28",28,4,8,2017,2,42.1,1.48,0.3,30.62,16.2,0.81,13.99,6.66,-0.25,1.31,"2 - 2017","4 - 2017"
"29",29,5,12.1,2017,2,41.24,1.48,0.3,30.62,16.2,0.81,13.99,6.66,-0.25,1.31,"2 - 2017","5 - 2017"
"30",30,6,14.5,2017,2,39.68,1.48,0.3,30.62,16.2,0.81,13.99,6.66,-0.25,1.31,"2 - 2017","6 - 2017"
"31",31,7,15.1,2017,3,43.05,2.06,0.59,28.56,16.51,1.24,13.42,6.63,-0.21,1.31,"3 - 2017","7 - 2017"
"32",32,8,14.5,2017,3,43.34,2.06,0.59,28.56,16.51,1.24,13.42,6.63,-0.21,1.31,"3 - 2017","8 - 2017"
"33",33,9,12.6,2017,3,47.17,2.06,0.59,28.56,16.51,1.24,13.42,6.63,-0.21,1.31,"3 - 2017","9 - 2017"
"34",34,10,11.2,2017,4,46.68,7.96,0.32,35.43,15.16,1.95,18.33,6.4,-0.25,1.29,"4 - 2017","10 - 2017"
"35",35,11,5.8,2017,4,51.45,7.96,0.32,35.43,15.16,1.95,18.33,6.4,-0.25,1.29,"4 - 2017","11 - 2017"
"36",36,12,4.1,2017,4,56.18,7.96,0.32,35.43,15.16,1.95,18.33,6.4,-0.25,1.29,"4 - 2017","12 - 2017"
