"","Month","AvgTemp","Year","Quarter","Price","Coal","Oil","Gas","Nuclear","Hydro","Wind","Bio","PumpStorage","Other"
"1",1,3.7,2015,1,39.86,28.03,0.47,23.17,16.51,2.02,12.8,6.02,-0.23,1.11
"2",2,3.5,2015,1,42.86,28.03,0.47,23.17,16.51,2.02,12.8,6.02,-0.23,1.11
"3",3,5.5,2015,1,40.91,28.03,0.47,23.17,16.51,2.02,12.8,6.02,-0.23,1.11
"4",4,7.9,2015,2,43.97,15.11,0.33,22.95,15.37,1.44,11.45,6.08,-0.23,1.07
"5",5,9.6,2015,2,41.21,15.11,0.33,22.95,15.37,1.44,11.45,6.08,-0.23,1.07
"6",6,12.7,2015,2,41.66,15.11,0.33,22.95,15.37,1.44,11.45,6.08,-0.23,1.07
"7",7,14.4,2015,3,42.2,12.11,0.53,26.03,15.04,1.04,9.89,6.16,-0.25,1.09
"8",8,14.7,2015,3,40.86,12.11,0.53,26.03,15.04,1.04,9.89,6.16,-0.25,1.09
"9",9,11.9,2015,3,42.04,12.11,0.53,26.03,15.04,1.04,9.89,6.16,-0.25,1.09
"10",10,10,2015,4,40.29,16.5,0.42,25.81,16.98,1.78,13.66,7.17,-0.21,1.04
"11",11,8.2,2015,4,38.01,16.5,0.42,25.81,16.98,1.78,13.66,7.17,-0.21,1.04
"12",12,7.9,2015,4,35.07,16.5,0.42,25.81,16.98,1.78,13.66,7.17,-0.21,1.04
"13",1,4.6,2016,1,36.95,13.89,0.4,33.56,15.75,2.03,13.02,7.41,-0.27,1.3
"14",2,3.9,2016,1,33.85,13.89,0.4,33.56,15.75,2.03,13.02,7.41,-0.27,1.3
"15",3,5.3,2016,1,34.76,13.89,0.4,33.56,15.75,2.03,13.02,7.41,-0.27,1.3
"16",4,6.5,2016,2,34.37,4.33,0.51,33.87,15.13,0.92,11.13,6.69,-0.26,1.2
"17",5,11.3,2016,2,34.61,4.33,0.51,33.87,15.13,0.92,11.13,6.69,-0.26,1.2
"18",6,13.9,2016,2,37.51,4.33,0.51,33.87,15.13,0.92,11.13,6.69,-0.26,1.2
"19",7,15.3,2016,3,38.4,2.55,0.38,32.07,17.13,1.13,11.96,5.34,-0.23,1.25
"20",8,15.5,2016,3,36.51,2.55,0.38,32.07,17.13,1.13,11.96,5.34,-0.23,1.25
"21",9,14.6,2016,3,51.13,2.55,0.38,32.07,17.13,1.13,11.96,5.34,-0.23,1.25
"22",10,9.8,2016,4,56.03,8.21,0.46,41.34,17.14,1.19,11.67,6.58,-0.3,1.42
"23",11,4.9,2016,4,67.54,8.21,0.46,41.34,17.14,1.19,11.67,6.58,-0.3,1.42
"24",12,5.9,2016,4,49.87,8.21,0.46,41.34,17.14,1.19,11.67,6.58,-0.3,1.42
"25",1,3.9,2017,1,53.37,9.98,0.77,36.49,16.03,1.76,14.41,7.52,-0.29,1.33
"26",2,5.3,2017,1,49.49,9.98,0.77,36.49,16.03,1.76,14.41,7.52,-0.29,1.33
"27",3,7.3,2017,1,41.99,9.98,0.77,36.49,16.03,1.76,14.41,7.52,-0.29,1.33
"28",4,8,2017,2,42.1,1.48,0.3,30.62,16.2,0.81,13.99,6.66,-0.25,1.31
"29",5,12.1,2017,2,41.24,1.48,0.3,30.62,16.2,0.81,13.99,6.66,-0.25,1.31
"30",6,14.5,2017,2,39.68,1.48,0.3,30.62,16.2,0.81,13.99,6.66,-0.25,1.31
"31",7,15.1,2017,3,43.05,2.06,0.59,28.56,16.51,1.24,13.42,6.63,-0.21,1.31
"32",8,14.5,2017,3,43.34,2.06,0.59,28.56,16.51,1.24,13.42,6.63,-0.21,1.31
"33",9,12.6,2017,3,47.17,2.06,0.59,28.56,16.51,1.24,13.42,6.63,-0.21,1.31
"34",10,11.2,2017,4,46.68,7.96,0.32,35.43,15.16,1.95,18.33,6.4,-0.25,1.29
"35",11,5.8,2017,4,51.45,7.96,0.32,35.43,15.16,1.95,18.33,6.4,-0.25,1.29
"36",12,4.1,2017,4,56.18,7.96,0.32,35.43,15.16,1.95,18.33,6.4,-0.25,1.29
"37",1,4.1,2018,1,50.84,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2,2.4,2018,1,53.68,NA,NA,NA,NA,NA,NA,NA,NA,NA
